Id,Group,Group_name,Complex_name,Status,Alternative_name,Protein,UniProt_ID,PMID_complex,Function,PMID_function,Target,Specific_target,Product,Uniprot_ID_target,PMID_target,Comment
1,1,ISWI,ACF,#,"ACF1-ISWI, ACF/WCRF","BAZ1A, SMARCA5/SNF2H(ISWI-type ATPase)","BAZ1A_HUMAN, SMCA5_HUMAN","10655480, 25486562",chromatin remodeling complex,"12434153, 14759371, 17099699",chromatin,pericentromeric chromatin,#,#,12434153,"Unfolding heterochromatin for replication. ATP-dependent chromatin remodeling complex, that regulates spacing of nucleosomes using ATP to generate evenly spaced nucleosomes along the chromatin. The ATPase activity of the complex is regulated by the length of flanking DNA. Also involved in facilitating the DNA replication process. BAZ1A is the accessory, non-catalytic subunit of the complex which can enhance and direct the process provided by the ATPase subunit, SMARCA5, probably through targeting pericentromeric heterochromatin in late S phase. Moves end-positioned nucleosomes to a predominantly central position. May have a role in nuclear receptor-mediated transcription repression."
2,1,ISWI,B-WICH,#,"WICH, WSTF-SNF2h, WSTF-ISWI","BAZ1B/WSTF, DDX21, DEK, ERCC6, MYBBP1A, MYO1C, SF3B1, SIRT7, SMARCA5/SNF2H(ISWI-type ATPase)","BAZ1B_HUMAN, DDX21_HUMAN, DEK_HUMAN, ERCC6_HUMAN, MBB1A_HUMAN, MYO1C_HUMAN, SF3B1_HUMAN, SIR7_HUMAN, SMCA5_HUMAN",16603771,"histone phosphorylation complex, chromatin remodeling complex","19092802, 15753658","chromatin, histone",H2AXY142,H2AXY142ph,H2AX_HUMAN,19092802,"A chromatin remodeling complex that mobilizes nucleosomes and reconfigures irregular chromatin to a regular nucleosomal array structure. The WICH complex regulates the transcription of various genes, has a role in RNA polymerase I and RNA polymerase III transcription, mediates the histone H2AX phosphorylation at 'Tyr-142', and is involved in the maintenance of chromatin structures during DNA replication processes. H2AXY142ph plays a central role in DNA repair and acts as a mark that distinguishes between apoptotic and repair responses to genotoxic stress."
3,1,ISWI,RSF,#,ISWI-containing factor RSF,"SMARCA5/SNF2H(ISWI-type ATPase), RSF1","RSF1_HUMAN, SMCA5_HUMAN","12972596, 25486562",chromatin remodeling complex,12972596,chromatin,centromeric CENP-A chromatin,#,#,19398759,Assembly of regular nucleosome arrays.
4,1,ISWI,CHRAC,#,#,"CHRAC1, POLE3, ACF1 and ISWI/SNF2H","CHRC1_HUMAN, DPOE3_HUMAN, BAZ1A_HUMAN, SMCA5_HUMAN","10880450, 10801849, 25486562",chromatin remodeling complex,10880450,chromatin,#,#,#,#,#
5,1,ISWI,NoRC,#,#,"SMARCA5/SNF2H(ISWI-type ATPase), BAZ2A/TIP5","BAZ2A_HUMAN, SMCA5_HUMAN","11532953, 25486562",chromatin remodeling complex,11532953,chromatin,#,#,#,#,"A complex that mediates silencing of a fraction of rDNA by recruiting histone-modifying enzymes and DNA methyltransferases, leading to heterochromatin formation and transcriptional silencing."
6,1,ISWI,NuRF,#,nucleosome-remodeling factor,SMARCA1; BPTF; RBBP4 and RBBP7,"BPTF_HUMAN, RBBP4_HUMAN, RBBP7_HUMAN, SMCA1_HUMAN","20850016, 22108599",chromatin remodeling complex,20850016,chromatin,#,#,#,#,"Nucleosome-remodeling factor, a complex which catalyzes ATP-dependent nucleosome sliding and facilitates transcription of chromatin. Members: by similarity to mice."
7,1,ISWI,CERF,#,CECR2-containing-remodeling factor,"CECR2, SMCA1","CECR2_HUMAN, SMCA1_HUMAN",25486562,chromatin remodeling complex,25486562,chromatin,#,#,#,#,#
8,2,SWI/SNF,BAF,#,SWI/SNF-A,"(ACTB), ARID1A, ARID1B/BAF250, SMARCA2, SMARCA4/BRG1/BAF190A, ACTL6A/BAF53, ACTL6B/BAF53B, SMARCE1/BAF57, SMARCC1/BAF155, SMARCC2/BAF170, SMARCB1/SNF5/INI1, and one or more of SMARCD1/BAF60A, SMARCD2/BAF60B, or SMARCD3/BAF60C. In muscle cells, the BAF complex also contains DPF3.","ACL6A_HUMAN, ACL6B_HUMAN, ACTB_HUMAN, ARI1A_HUMAN, ARI1B_HUMAN, DPF3_HUMAN?, SMCA2_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SNF5_HUMAN, (SMRD1_HUMAN|SMRD2_HUMAN|SMRD3_HUMAN)+","10078207, 11078522",chromatin remodeling complex,10078207,chromatin,#,#,#,#,"In muscle cells, the BAF complex also contains DPF3, which specifically binds acetylated lysines on histone 3 and 4 (H3K14ac, H3K9ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac)."
9,2,SWI/SNF,nBAF,#,neuron-specific chromatin remodeling complex,"ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, DPF1/BAF45B, DPF3/BAF45C, ACTL6B/BAF53B and actin","ACL6B_HUMAN, ACTB_HUMAN, (ARI1A_HUMAN|ARI1B_HUMAN), DPF1_HUMAN, DPF3_HUMAN, SMCA2_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD1_HUMAN, SMRD3_HUMAN, SNF5_HUMAN","10078207, 11078522, 18765789, by similarity",chromatin remodeling complex,11078522,chromatin,#,#,#,#,The neuron-specific chromatin remodeling complex. The nBAF complex along with CREST plays a role regulating the activity of genes essential for dendrite growth. During neural development a switch from a stem/progenitor to a post-mitotic chromatin remodeling mechanism occurs as neurons exit the cell cycle and become committed to their adult state.
10,2,SWI/SNF,npBAF,#,"neural progenitors-specific chromatin remodeling complex, BAF53","ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, PHF10/BAF45A, ACTL6A/BAF53A and actin","ACL6A_HUMAN, ACTB_HUMAN, (ARI1A_HUMAN|ARI1B_HUMAN), SMCA2_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD1_HUMAN, SMRD3_HUMAN, SNF5_HUMAN, PHF10_HUMAN","10078207, 11078522, 18765789, by similarity",chromatin remodeling complex,11078522,chromatin,#,#,#,#,Neural progenitors-specific chromatin remodeling complex. The npBAF complex is essential for the self-renewal/proliferative capacity of the multipotent neural stem cells. During neural development a switch from a stem/progenitor to a post-mitotic chromatin remodeling mechanism occurs as neurons exit the cell cycle and become committed to their adult state. The transition from proliferating neural stem/progenitor cells to post-mitotic neurons requires a switch in subunit composition of the npBAF and nBAF complexes.
11,2,SWI/SNF,PBAF,#,SWI/SNF-B,"SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, ACTL6A/BAF53A or ACTL6B/BAF53B, SMARCE1/BAF57, SMARCD1/BAF60A, SMARCD2/BAF60B, perhaps SMARCD3/BAF60C, SMARCC1/BAF155, SMARCC2/BAF170, PB1/BAF180, ARID2/BAF200, ARID1A/BAF250A or ARID1B/BAF250B and actin","(ACL6A_HUMAN|ACL6B_HUMAN), ACTB_HUMAN, (ARI1A_HUMAN|ARI1B_HUMAN), ARID2_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD1_HUMAN, SMRD2_HUMAN, SMRD3_HUMAN?, SNF5_HUMAN, PB1_HUMAN","11078522, 11780067, 15985610",chromatin remodeling complex,11780067,chromatin,#,#,#,#,Involved in transcriptional activation and repression of select genes by chromatin remodeling (alteration of DNA-nucleosome topology). Acts as a negative regulator of cell proliferation.
12,2,SWI/SNF,SWI/SNF_Brg1(I),#,#,"SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, ACTL6A/BAF53A or ACTL6B/BAF53B, SMARCE1/BAF57, BAF60 (one or more of SMARCD1/BAF60A, SMARCD2/BAF60B, or SMARCD3/BAF60C), SMARCC1/BAF155, SMARCC2/BAF170, ARID1A/BAF250A, SIN3A, and probably HDAC2 and RBAP4","(ACL6A_HUMAN|ACL6B_HUMAN), ARI1A_HUMAN, HDAC2_HUMAN?, SIN3A_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, (SMRD1_HUMAN|SMRD2_HUMAN|SMRD3_HUMAN)+, SNF5_HUMAN, RBBP4_HUMAN?",Uniprot,chromatin remodeling complex,Uniprot,chromatin,#,#,#,#,#
13,2,SWI/SNF,SWI/SNF_Brg1(II),#,#,"SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, ACTL6A/BAF53A or ACTL6B/BAF53B, SMARCE1/BAF57, SMARCC1/BAF155, SMARCC2/BAF170, ARID1A/BAF250A and probably HDAC2 and RBAP4","(ACL6A_HUMAN|ACL6B_HUMAN), ARI1A_HUMAN, HDAC2_HUMAN?, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SNF5_HUMAN, RBBP4_HUMAN?",Uniprot,chromatin remodeling complex,Uniprot,chromatin,#,#,#,#,#
14,2,SWI/SNF,SWI/SNF_Brm,#,#,"SMARCA2/BRM/BAF190B, SMARCB1/BAF47, ACTL6A/BAF53A or ACTL6B/BAF53B, SMARCE1/BAF57, BAF60 (one or more of SMARCD1/BAF60A, SMARCD2/BAF60B, or SMARCD3/BAF60C), SMARCC1/BAF155, SMARCC2/BAF170, ARID1A/BAF250A, SIN3A, HDAC1, HDAC2, and RBAP4.","(ACL6A_HUMAN|ACL6B_HUMAN), ARI1A_HUMAN, HDAC1_HUMAN, HDAC2_HUMAN, SIN3A_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, (SMRD1_HUMAN|SMRD2_HUMAN|SMRD3_HUMAN)+, SNF5_HUMAN, RBBP4_HUMAN",Uniprot,chromatin remodeling complex,Uniprot,chromatin,#,#,#,#,#
15,2,SWI/SNF,SWI/SNF-like_EPAFa,#,#,"SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, ACTL6A/BAF53A, SMARCE1/BAF57, SMARCD1/BAF60A, SMARCC1/BAF155, SMARCC2/BAF170, BAF250A and MLLT1/ENL","ACL6A_HUMAN, ARI1B_HUMAN, ENL_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD1_HUMAN, SNF5_HUMAN",12665591,chromatin remodeling complex,12665591,chromatin,#,#,#,#,#
16,2,SWI/SNF,WINAC,#,#,"ACL6A, ARI1A, BAZ1B/WSTF, CAF1A, SMCA2, SMCA4, SMCE1, SMRC1, SMRC2, SMRD1, SNF5, SP16H, TOP2B","ACL6A_HUMAN, ARI1A_HUMAN, BAZ1B_HUMAN, CAF1B_HUMAN, SMCA2_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD1_HUMAN, SNF5_HUMAN, SP16H_HUMAN, TOP2B_HUMAN",12837248,chromatin remodeling complex,12837248,chromatin,#,#,#,#,"A chromatin-remodeling complex recruited by vitamin D receptor (VDR), which is required for the ligand-bound VDR-mediated transrepression of the CYP27B1 gene. ""directly interacts with the vitamin D receptor (VDR) through the Williams syndrome transcription factor (WSTF)""."
17,2,SWI/SNF,CERF,#,CECR2-containing-remodeling factor complex,"CECR2, SMARCA1","CECR2_HUMAN, SMCA1_HUMAN",15640247,chromatin remodeling complex,15640247,chromatin,#,#,#,#,"facilitates the perturbation of chromatin structure in an ATP-dependent manner. May be involved through its interaction with LRPPRC in the integration of cytoskeletal network with vesicular trafficking, nucleocytosolic shuttling, transcription, chromosome remodeling and cytokinesis."
