name	logFC	P.Value	t	TFDatabase
POLL	1.648799	0.0164533537834668	2.981229	absent
ETFA	1.523198	0.0643181789372936	2.125487	absent
ZNF286B	0.993416	0.179415752174642	1.463346	absent
GPC6	0.965345	0.0644657657977435	2.124047	absent
SRSF5	0.959195	0.0531544172140181	2.245062	absent
ARPC3	0.903687	0.173289386316879	1.48669	absent
HPF1	0.895467	0.172884260627469	1.488259	absent
ZNF184	0.889801	0.196748400664636	1.400898	absent
GEMIN6	0.852282	0.218057523489137	1.330345	absent
CCNDBP1	0.845654	0.297759354748684	1.109293	absent
PPP1R3D	0.843743	0.46760369096516	0.760433	absent
DPM1	0.835862	0.144461718812738	1.607494	absent
ZFHX2	0.808596	0.0315369947729429	2.571493	absent
PPFIA2	0.797894	0.173600771847346	1.485486	absent
JMJD4	0.781262	0.195018213387719	1.406912	absent
RNF113B	0.769591	0.0482536931441001	2.305592	absent
NAA10	0.766287	0.191240293880955	1.420205	absent
PRPF40B	0.766162	0.166598113183472	1.513034	absent
GMFB	0.723952	0.346149316790283	0.997441	absent
GOLGA6L2	0.72166	0.356057407391217	0.976034	absent
RNF14	0.71548	0.0848673998916503	1.950465	absent
POLR1C	0.711303	0.41071621546514	0.865224	absent
ZNF112	0.706039	0.118924092536031	1.734394	absent
CENPQ	0.705342	0.163803713386596	1.524315	absent
DCUN1D4	0.702208	0.0212015634938392	2.820796	absent
SAP130	0.695978	0.237432109332814	1.271121	absent
CRIPT	0.687816	0.20204667554154	1.382764	absent
NIPSNAP2	0.684998	0.22916124040128	1.295886	absent
GTF2F1	0.681574	0.124107107955136	1.706737	absent
YTHDC1	0.675553	0.0374848418053876	2.463447	absent
SARNP	0.673721	0.121914097250099	1.718306	absent
DCUN1D5	0.672084	0.392992752860893	0.89992	absent
TBC1D23	0.66471	0.295418674935974	1.115053	absent
GPATCH4	0.656035	0.304981351848597	1.091742	absent
TADA1	0.651848	0.412339508381175	0.862099	absent
RRP15	0.648242	0.281256736709494	1.150703	absent
EAPP	0.64065	0.264751820225922	1.19412	absent
ZSCAN12	0.638048	0.154927988332523	1.561323	absent
ATP6V1F	0.637967	0.367217337612622	0.952448	absent
SALL1	0.633733	0.301875239330984	1.09925	absent
YIPF1	0.629841	0.111455258708537	1.776281	absent
H2BC19P	0.617799	0.366840984996259	0.953235	absent
H2BC20P	0.617799	0.366840984996259	0.953235	absent
MCPH1	0.616318	0.352380220593258	0.983926	absent
FAM50B	0.610679	0.14153552983242	1.620944	absent
NOVA2	0.606773	0.365999500576163	0.954996	absent
AUTS2	0.606323	0.129265263293498	1.680251	absent
ZNF516	0.59634	0.00461594482738025	3.812204	absent
ANKIB1	0.596308	0.226588997826165	1.303741	absent
IRF2BP1	0.592548	0.247455254245539	1.242058	absent
C7orf50	0.591789	0.28623855069247	1.138002	absent
PALLD	0.58845	0.24354105670493	1.253289	absent
CWC25	0.584216	0.196250869919274	1.402623	absent
RFX5	0.577405	0.11520459877687	1.754938	absent
MED7	0.564562	0.137994135601179	1.637563	absent
SUSD5	0.562564	0.149228340413818	1.586104	absent
ADGRL2	0.56146	0.274224109357327	1.168943	absent
KRT71	0.560431	0.567721295974609	0.594455	absent
