name	logFC	P.Value	t
GPAT3	1.534534	0.0251025587605137	2.714528
PPP1R3D	1.397133	0.241507623353368	1.259183
POLL	1.336548	0.0403998725780337	2.416642
SETSIP	1.303895	0.0903593718331163	1.910614
SARNP	1.298272	0.00983809076879682	3.311207
DPM1	1.287117	0.0367790372232259	2.475328
ETFA	1.189156	0.133471749435602	1.659361
ZNF286B	1.130244	0.132344131006738	1.664901
SRSF5	1.128175	0.0282432839862676	2.640572
GOLGA6L2	0.979861	0.219670912462564	1.325247
ZNF184	0.975431	0.161022641370431	1.535714
HPF1	0.944289	0.153049397404409	1.569399
ETV6	0.903974	0.0450778872625981	2.348162
ZFHX2	0.903333	0.0195254661184515	2.872775
NIPSNAP2	0.89942	0.125105896139462	1.701531
ACSF3	0.889727	0.168141024215553	1.506877
NAT8L	0.829246	0.187364559976491	1.434082
KLHL7	0.825058	0.208577446637615	1.360967
UBE2C	0.818414	0.142153391805241	1.618083
ZFYVE27	0.817355	0.150720852333261	1.579534
CENPQ	0.802937	0.118770943608045	1.735228
TDP1	0.782729	0.0938059984361464	1.886764
PWP1	0.776433	0.125184556051426	1.701122
RPS21	0.775666	0.201671948694001	1.384033
GTF2F1	0.772496	0.0870394012078251	1.934418
ADGRL2	0.760786	0.149719922612688	1.583934
RRP15	0.744721	0.220715612207409	1.321963
ZNF112	0.74158	0.103852240658963	1.8217
MRPS11	0.741437	0.382296170729626	0.921405
LTN1	0.739744	0.200666833251507	1.387447
YY2	0.735034	0.0239724804663239	2.743471
MICOS10	0.733054	0.157829333816572	1.549021
CSNK2B	0.732223	0.175473745886048	1.478284
BICRA	0.731737	0.0859962490102766	1.942077
ZMAT5	0.716564	0.0244314455320819	2.731551
MRPL2	0.713735	0.0362411252965061	2.484538
KRT87P	0.702824	0.562916367021622	0.601999
CHID1	0.70186	0.131973133155878	1.666733
TALDO1	0.701242	0.0419715071303804	2.392791
FBXO11	0.68849	0.168823281331306	1.504171
YTHDC1	0.686183	0.0352311157359407	2.502208
SFXN3	0.683772	0.384991469325153	0.915951
TIMM21	0.67713	0.102717711109387	1.828743
HIBADH	0.670582	0.080670919380034	1.982612
ANP32A	0.665058	0.100853091332309	1.84048
SLC25A31	0.664402	0.282665133408586	1.147094
EXOSC4	0.655178	0.286146146561342	1.138236
DAD1	0.652329	0.0992213581101538	1.850919
GPC6	0.648926	0.189101793230544	1.427831
SIX1	0.642458	0.0719837170200493	2.054606
KRAS	0.630012	0.140298534100356	1.626705
TTMP	0.627613	0.280369948979453	1.152982
RPL15	0.62106	0.474761973034617	0.747865
BCLAF1	0.620976	0.0845667827349048	1.952717
ZSCAN12	0.617698	0.166975182558802	1.511525
H2BC10	0.609286	0.381084170127725	0.923867
H2BC12	0.609286	0.381084170127725	0.923867
H2BC12L	0.609286	0.381084170127725	0.923867
H2BC13	0.609286	0.381084170127725	0.923867
H2BC14	0.609286	0.381084170127725	0.923867
H2BC15	0.609286	0.381084170127725	0.923867
H2BC18	0.609286	0.381084170127725	0.923867
H2BC5	0.609286	0.381084170127725	0.923867
H2BC9	0.609286	0.381084170127725	0.923867
TMEM97	0.608252	0.190182464855226	1.423968
GNL3	0.606913	0.108743337702067	1.792139
MRPS23	0.603342	0.0134275174954803	3.110803
TRIR	0.600883	0.188290217445375	1.430745
GPATCH4	0.599373	0.346146232981101	0.997448
MPHOSPH10	0.5983	0.212863666602101	1.346978
ZNF787	0.596861	0.126331137842208	1.695195
MCPH1	0.591775	0.370917643168765	0.944745
KRT83	0.589423	0.589738693798977	0.560336
ANKIB1	0.587305	0.233081253429815	1.284057
NOVA2	0.586424	0.381525690773114	0.922969
RFX5	0.586208	0.110522942308701	1.781692
FDFT1	0.584324	0.330028404875901	1.033284
ZRANB2	0.583697	0.11157560665225	1.775585
CCDC117	0.583611	0.24256778410281	1.256105
NCBP2L	0.583384	0.111573397478882	1.775598
PWWP2A	0.582895	0.109452137131457	1.787959
ZNF593	0.579638	0.357058438779584	0.973896
H2BC19P	0.579431	0.395959470572012	0.894035
H2BC20P	0.579431	0.395959470572012	0.894035
LAP3	0.576505	0.135613392900969	1.648956
PCLAF	0.574828	0.234621988444767	1.279453
DNAH11	0.571883	0.558556993524144	0.608875
DNAJC8	0.571756	0.277265010575101	1.16101
RPL21	0.571142	0.130408332973643	1.674514
TECR	0.570006	0.360792792515787	0.96596
CCDC86	0.568752	0.167058455994519	1.511192
RNF113B	0.568056	0.12505065927923	1.701818
IMP3	0.560701	0.245769285184852	1.246878
CRIPT	0.559584	0.291423117061984	1.124971
MRPS6	0.558915	0.285120372854609	1.140837
GAR1	0.558873	0.310522849746733	1.078495
HMGB1	0.558193	0.120788365377043	1.72432
FCF1	0.55508	0.3110601609503	1.07722
BOP1	0.554568	0.115020555417908	1.755971
RABEP2	0.553446	0.33186817741834	1.029127
SUB1	0.552028	0.332590213616621	1.0275
DDX56	0.551133	0.122683503881199	1.714226
UTP14A	0.545945	0.111843976925164	1.774037
