name	logFC	P.Value	t
MAP4	10.9758	1	10.9758
HSPG2	5.29957	1	5.29957
COL1A2	4.66888	1	4.66888
DDX42	4.50244	1	4.50244
AUTS2	3.54765	1	3.54765
FAU	3.40749	1	3.40749
INTS7	3.38997	1	3.38997
CHTF8	3.33742	1	3.33742
INTS3	3.28486	1	3.28486
DAZAP1	2.78556	1	2.78556
MAGED1	2.64541	1	2.64541
KRT2	2.58409	1	2.58409
ARGLU1	2.46145	1	2.46145
TTN	2.45269	1	2.45269
LUC7L2	2.44393	1	2.44393
KRT1	2.41766	1	2.41766
ZCCHC17	2.4089	1	2.4089
KRT9	2.3651	1	2.3651
KRT10	2.2337	1	2.2337
MMTAG2	2.18991	1	2.18991
RPL29	2.15487	1	2.15487
PRKAR2A	2.06727	1	2.06727
FLG2	2.04975	1	2.04975
PICALM	2.03223	1	2.03223
SFPQ	2.02347	1	2.02347
PRRC2C	2.01471	1	2.01471
SYNCRIP	2.01471	1	2.01471
ACTR1A	1.97091	1	1.97091
RBBP6	1.96215	1	1.96215
SF3A1	1.93588	1	1.93588
UBAP2L	1.91836	1	1.91836
GMPPA	1.9096	1	1.9096
MARK2	1.87456	1	1.87456
H2AFX	1.8658	1	1.8658
MAPK1	1.83076	1	1.83076
KRT4	1.83076	1	1.83076
TMEM209	1.80448	1	1.80448
YLPM1	1.74316	1	1.74316
CUL5	1.71689	1	1.71689
FAM168A	1.70813	1	1.70813
GATAD2A	1.68185	1	1.68185
SMARCB1	1.65557	1	1.65557
TARS	1.61177	1	1.61177
GCN1L1	1.61177	1	1.61177
ZNF703	1.55921	1	1.55921
PATL1	1.55921	1	1.55921
FOXP1	1.55921	1	1.55921
XRCC5	1.51541	1	1.51541
SRSF11	1.51541	1	1.51541
SMC4	1.43658	1	1.43658
FLNB	1.43658	1	1.43658
KRT76	1.43658	1	1.43658
KRT6B	1.43658	1	1.43658
RPS7	1.39278	1	1.39278
POM121C	1.35774	1	1.35774
ILF3	1.34898	1	1.34898
PFAS	1.33146	1	1.33146
SON	1.31394	1	1.31394
MATR3	1.30518	1	1.30518
CLTC	1.30518	1	1.30518
EIF4A3	1.29642	1	1.29642
RPL13	1.29642	1	1.29642
RAB14	1.28766	1	1.28766
TAGLN2	1.2789	1	1.2789
CCT5	1.25263	1	1.25263
HIST1H1E	1.25263	1	1.25263
ADNP	1.24387	1	1.24387
KRT13	1.23511	1	1.23511
RPL4	1.16503	1	1.16503
YEATS2	1.16503	1	1.16503
