name	logFC	P.Value	t
MRPL17	3.283	1	19.166
ZNF7	3.084	1	18.0039
AMBRA1	2.762	1	16.1235
ZNF16	2.744	1	16.0184
ZNF235	2.744	1	16.0184
ZNF223	2.744	1	16.0184
REPIN1	2.731	1	15.9425
ZNF234	2.679	1	15.6388
ZNF660	2.679	1	15.6388
MT-CO3	2.608	1	15.2242
DTX2	2.57	1	15.0023
EBP	2.483	1	14.4943
PEX16	2.425	1	14.1555
ZNF229	2.422	1	14.138
ZNF167	2.418	1	14.1147
CHAF1B	2.378	1	13.8811
KIF23	2.374	1	13.8577
FOXP2	2.357	1	13.7584
GTSE1	2.346	1	13.6942
ZNF860	2.341	1	13.665
WFS1	2.314	1	13.5073
TP53	2.298	1	13.4139
ZNF624	2.25	1	13.1336
SPTAN1	2.226	1	12.9934
PCNT	2.212	1	12.9117
TRIP6	2.17	1	12.6664
RBM10	2.149	1	12.5438
NTHL1	2.144	1	12.5146
ZNF571	2.138	1	12.4795
HIST1H4A	2.127	1	12.4153
TARBP1	2.067	1	12.0649
PLEKHA5	2.065	1	12.0532
RACGAP1	2.065	1	12.0532
PTGES3	2.062	1	12.0357
CTH	2.014	1	11.7554
MLL	1.964	1	11.4634
VIM	1.92	1	11.2065
GATAD2B	1.91	1	11.1481
CYBA	1.905	1	11.1189
MYH9	1.894	1	11.0546
TAB2	1.892	1	11.043
MYST4	1.884	1	10.9962
ATXN2	1.875	1	10.9437
EWSR1	1.859	1	10.8502
CMTM4	1.824	1	10.6459
NEFM	1.771	1	10.3364
ZNF117	1.761	1	10.278
TCOF1	1.754	1	10.2371
C1ORF77	1.735	1	10.1261
ZNF420	1.725	1	10.0677
MYH10	1.72	1	10.0385
RPS23	1.698	1	9.91005
SNRNP70	1.692	1	9.87501
MT-ATP6	1.655	1	9.65894
DSG2	1.653	1	9.64726
RDH14	1.644	1	9.5947
TBC1D5	1.643	1	9.58886
SCD5	1.635	1	9.54215
TMED3	1.624	1	9.47791
INA	1.579	1	9.21512
ZNF35	1.574	1	9.18592
LAGE3	1.566	1	9.1392
NEFL	1.549	1	9.03993
ZNF286A	1.535	1	8.95817
ZNF184	1.535	1	8.95817
BUB1	1.535	1	8.95817
ZNF195	1.535	1	8.95817
SCD	1.529	1	8.92313
STX12	1.502	1	8.76546
THRAP3	1.493	1	8.7129
SLTM	1.49	1	8.69538
ZNF76	1.472	1	8.59027
MUTYH	1.414	1	8.25156
SURF6	1.409	1	8.22236
CDKN2A	1.383	1	8.07053
ETV3	1.36	1	7.93622
CTNNB1	1.311	1	7.65007
RABL4	1.309	1	7.63839
CAMLG	1.302	1	7.59751
CIT	1.282	1	7.48072
ZNF430	1.272	1	7.42232
MAT2B	1.258	1	7.34056
MAP4	1.24	1	7.23545
DUT	1.24	1	7.23545
SIK3	1.233	1	7.19457
VAPA	1.224	1	7.14201
ZNF724P	1.21	1	7.06025
KRT8	1.206	1	7.03689
DSP	1.199	1	6.99602
TSPO	1.186	1	6.9201
KRT18	1.179	1	6.87922
PAPD7	1.178	1	6.87338
SRRM2	1.176	1	6.8617
MOXD1	1.168	1	6.81498
ZNF71	1.155	1	6.73907
RIOK1	1.152	1	6.72155
OTUD4	1.151	1	6.71571
USP5	1.143	1	6.66899
LIMA1	1.122	1	6.54636
SON	1.112	1	6.48796
SBSN	1.099	1	6.41204
MAN1A2	1.096	1	6.39452
BAT2	1.074	1	6.26605
TBC1D10B	1.063	1	6.20181
ADAP1	1.061	1	6.19013
RPL32	1.054	1	6.14925
NAP1L1	1.044	1	6.09086
ZXDC	1.041	1	6.07334
SGK3	1.025	1	5.9799
FSD1	1.021	1	5.95654
KIF3B	1.021	1	5.95654
POM121C	1.019	1	5.94486
LUZP1	1.006	1	5.86895
RNF138	1	1	5.83391
EFTUD2	0.998	1	5.82223
TEAD4	0.995	1	5.80471
MYO1D	0.994	1	5.79887
MLF2	0.985	1	5.74631
POP1	0.984	1	5.74047
HIST1H3A	0.983	1	5.73463
KIAA0100	0.977	1	5.69959
NKAP	0.974	1	5.68207
XRCC1	0.961	1	5.60616
ZNF22	0.949	1	5.53608
CDC34	0.935	1	5.45432
KIF18A	0.934	1	5.44848
NME4	0.927	1	5.40761
ADO	0.926	1	5.40177
TAZ	0.924	1	5.39009
RBM14	0.92	1	5.36673
POLR3E	0.912	1	5.32001
CLIC4	0.91	1	5.30833
MRPS14	0.907	1	5.29081
TP53I11	0.901	1	5.25577
FAM120B	0.897	1	5.23241
RPL18A	0.894	1	5.21489
PFN1	0.883	1	5.15066
DULLARD	0.881	1	5.13898
SMG7	0.88	1	5.13314
MBLAC2	0.88	1	5.13314
CEP55	0.87	1	5.07474
BRP44L	0.869	1	5.0689
ODR4	0.862	1	5.02802
JUP	0.862	1	5.02802
GATAD2A	0.85	1	4.95795
CCDC59	0.846	1	4.93459
ARPC4	0.846	1	4.93459
MBOAT7	0.837	1	4.88203
SAMD1	0.825	1	4.81195
RPL10	0.812	1	4.73603
RPL28	0.802	1	4.67764
HRNR	0.801	1	4.6718
PDP2	0.792	1	4.61924
RPL37	0.79	1	4.60756
TAP1	0.785	1	4.57836
KIAA1012	0.781	1	4.555
PHC1	0.774	1	4.51412
FLG2	0.769	1	4.48493
KRT6C	0.768	1	4.47909
ISCU	0.766	1	4.46741
TSGA14	0.765	1	4.46157
CUL7	0.765	1	4.46157
KIF1B	0.764	1	4.45573
FAM57A	0.76	1	4.43237
IMPACT	0.757	1	4.41485
MBNL3	0.753	1	4.39149
H2AFZ	0.752	1	4.38565
ST13	0.752	1	4.38565
PABPC1	0.749	1	4.36813
ARHGEF11	0.747	1	4.35645
NCOA2	0.747	1	4.35645
WDTC1	0.746	1	4.35061
KIF14	0.746	1	4.35061
RPL19	0.742	1	4.32725
PLEKHA7	0.742	1	4.32725
RPL29	0.739	1	4.30973
MAZ	0.723	1	4.2163
SPTBN1	0.723	1	4.2163
ZNF146	0.722	1	4.21046
SUN2	0.719	1	4.19294
SERBP1	0.718	1	4.1871
ACTA2	0.712	1	4.15206
SLC22A18	0.71	1	4.14038
FNDC3B	0.703	1	4.0995
SEC61B	0.695	1	4.05278
MBNL1	0.695	1	4.05278
OLA1	0.694	1	4.04694
KRT16	0.693	1	4.0411
